公司状态,公司规模,链接,职位,薪资,地址,经验,学历,公司名,公司类型,联系人,职务,时间
未融资,100-499人,https://www.zhipin.com/job_detail/0e74bf3d4e9ee84f1XNz3dy9FlI~.html,python实习生,3k-4k,北京 海淀区 知春路,1年以内,学历不限,中科院计算所,计算机软件,焦帅,项目经理,发布于11月26日
B轮,20-99人,https://www.zhipin.com/job_detail/be09f90ac8422cfd1HR-39q_F1E~.html,python量化交易,10k-15k,北京 朝阳区 朝外,1-3年,本科,通证科技,互联网,滕新平,hr,发布于11月28日
A轮,100-499人,https://www.zhipin.com/job_detail/72857c190e626af21HR63du0EFc~.html,python开发工程师,20k-40k,北京 朝阳区 大山子,5-10年,本科,信链,计算机软件,Carol,HR,发布于昨天
已上市,100-499人,https://www.zhipin.com/job_detail/8617d36dd07cee411Xx70tq7FlM~.html,Python工程师,20k-30k,北京 海淀区 ,1-3年,本科,百卓网络,信息安全,薛中爽,招聘者,发布于10月19日
未融资,20-99人,https://www.zhipin.com/job_detail/67ffa8c5cf06405d1XF539i9EVY~.html,python后端工程师,25k-50k,北京 朝阳区 北苑,经验不限,学历不限,思考方舟,移动互联网,姜忠良,CTO,发布于08月26日
已上市,1000-9999人,https://www.zhipin.com/job_detail/aee16c06275b074d1XB-0t29FFA~.html,Python开发,12k-24k,北京 海淀区 五道口,5-10年,本科,Veritas,企业服务,彭世敏,招聘者,发布于11月08日
B轮,100-499人,https://www.zhipin.com/job_detail/a63fe3e770d084411HR53Nm_GFU~.html,架构师（python）,20k-40k,北京 朝阳区 东大桥,5-10年,本科,车势科技,互联网,孟津瑶,招聘者,发布于昨天
不需要融资,1000-9999人,https://www.zhipin.com/job_detail/4c133c08cdbae1b41XBy39u0Elo~.html,Python开发工程师,15k-30k,北京 朝阳区 北苑,3-5年,本科,闲来游戏,游戏,丁娜娜,HR,发布于08月16日
已上市,1000-9999人,https://www.zhipin.com/job_detail/167fc66846f275af1XNz2NW4GFY~.html,Python开发工程师,15k-28k,北京 海淀区 西北旺,3-5年,本科,一号车网,互联网,李女士,HR专员,发布于10月23日
天使轮,100-499人,https://www.zhipin.com/job_detail/0b658845bfd6e3c61XN529i0FVY~.html,Python开发工程师,15k-30k,北京 海淀区 上地,3-5年,本科,Aibee,互联网,杨锡坤,招聘者,发布于09月30日
A轮,20-99人,https://www.zhipin.com/job_detail/f202a563265b016b1X1429-1EFE~.html,python后端开发工程师,20k-40k,北京 东城区 东直门,经验不限,本科,客知音,计算机软件,Alice,招聘者,发布于11月06日
已上市,500-999人,https://www.zhipin.com/job_detail/8a09143c20700b501HRy3ti5GFc~.html,Python开发,15k-20k,北京 海淀区 苏州街,3-5年,本科,玩蟹科技,游戏,韩惠农,制片助理,发布于昨天
不需要融资,10000人以上,https://www.zhipin.com/job_detail/40f3197a35c471521XJ62d60F1o~.html,python开发工程师,10k-20k,北京 海淀区 上地,1-3年,本科,亚信科技,计算机软件,潘冬雪,招聘顾问,发布于09月07日
D轮及以上,1000-9999人,https://www.zhipin.com/job_detail/4a47cdd317d7a9d61HR92di7EVA~.html,Python开发工程师,20k-40k,北京 海淀区 五道口,3-5年,本科,快手,社交网络,和瑞丽,招聘者,发布于12月03日
未融资,500-999人,https://www.zhipin.com/job_detail/86128e91c497cb5f1XB93d65EFA~.html,Python开发,30k-60k,北京  ,1-3年,本科,粉笔公考,移动互联网,张丽亚,招聘者,发布于08月15日
天使轮,0-20人,https://www.zhipin.com/job_detail/fd66c5f8484d0a481XN72Nm4GVU~.html,Python高级工程师,15k-30k,北京 朝阳区 望京,3-5年,本科,猫起来,计算机软件,甘世仁,CTO,发布于09月27日
不需要融资,0-20人,https://www.zhipin.com/job_detail/f872937113d13dfc1XB63d-6E1E~.html,Python工程师,8k-12k,北京 海淀区 紫竹桥,3-5年,本科,星钥科技,数据服务,赵彩青,总经理,发布于09月12日
已上市,10000人以上,https://www.zhipin.com/job_detail/f10cd3a6dc0b17411XJ92NS-GFQ~.html,python爬虫开发,25k-40k,北京 海淀区 中关村,5-10年,本科,搜狐,移动互联网,王田洋,招聘经理,发布于09月27日
未融资,20-99人,https://www.zhipin.com/job_detail/da14125c2ec335121HR_392-FVo~.html,高级 Python 工程师,30k-50k,北京 朝阳区 酒仙桥,5-10年,本科,智能优学,互联网,杨焱,招聘者,发布于11月29日
已上市,500-999人,https://www.zhipin.com/job_detail/11f01552203835ec1nN_3N68FFY~.html,Python开发工程师,10k-15k,北京 海淀区 清河,1-3年,大专,玩蟹科技,游戏,邓卉,HR,发布于昨天
已上市,10000人以上,https://www.zhipin.com/job_detail/820fc39881eb441f1Xx82929GVc~.html,Python研发工程师,13k-26k,北京 朝阳区 望京,3-5年,本科,苏宁云商集团,互联网,严先生,招聘者,发布于12月03日
已上市,10000人以上,https://www.zhipin.com/job_detail/b386ccbe71771b9f1nBy29-9GFM~.html,高级Python开发工程师,20k-40k,北京 朝阳区 望京,3-5年,本科,阿里集团,移动互联网,丁女士,招聘者,发布于12月06日
A轮,100-499人,https://www.zhipin.com/job_detail/a1bb8f50255206851XN80ty9EVI~.html,Python高级工程师,15k-28k,北京 朝阳区 北苑,1-3年,本科,Cloudin云英,互联网,潘月博,招聘者,发布于12月06日
已上市,10000人以上,https://www.zhipin.com/job_detail/95aaebef185a233c1XV-39W_E1M~.html,python爬虫工程师,15k-30k,北京 海淀区 知春路,3-5年,大专,神州优车集团,生活服务,漆兴,招聘者,发布于06月07日
未融资,500-999人,https://www.zhipin.com/job_detail/411e9ee013ab0eff1HRz3ty9FVI~.html,python研发工程师,20k-25k,北京 朝阳区 望京,3-5年,本科,直真科技,计算机软件,季强军,招聘者,发布于12月07日
C轮,100-499人,https://www.zhipin.com/job_detail/587150b8331dea791Xxz2dm0EFY~.html,python研发工程师,20k-40k,北京 海淀区 知春路,3-5年,本科,智融集团,互联网,吴庭逸,招聘者,发布于11月01日
A轮,0-20人,https://www.zhipin.com/job_detail/0104aa54a488d8d11Xd429W6Flc~.html,Python后端主程,15k-25k,北京 昌平区 回龙观,3-5年,本科,萌果科技,游戏,罗实,招聘者,发布于09月20日
已上市,1000-9999人,https://www.zhipin.com/job_detail/d3d3ab760af46d6e1HR909m9FFc~.html,python工程师,20k-25k,北京 海淀区 田村,3-5年,本科,精奇创智,移动互联网,苏辰,招聘者,发布于12月04日
A轮,100-499人,https://www.zhipin.com/job_detail/5b133e39df0bff891Xx-2d24FlQ~.html,Python讲师,15k-25k,北京 海淀区 上地,1年以内,大专,百知教育,在线教育,司浩楠,人事专员,发布于10月23日
D轮及以上,10000人以上,https://www.zhipin.com/job_detail/43efe36bf81e82f21nF82tm5FFc~.html,Python开发专家,25k-50k,北京  ,1-3年,本科,今日头条,移动互联网,宋慎义,基础架构技术负责人,发布于12月06日
C轮,100-499人,https://www.zhipin.com/job_detail/f4c67fe1cd5d86eb1X142N-5Els~.html,高级Python开发工程师,30k-45k,北京 朝阳区 大山子,3-5年,本科,松果出行,移动互联网,胡珊珊,招聘者,发布于11月23日
不需要融资,100-499人,https://www.zhipin.com/job_detail/093f5301d90d7b801XF73dm7FVU~.html,高级Python研发工程师,30k-50k,北京 朝阳区 望京,3-5年,本科,柯贝互动,数据服务,刘先生,HR,发布于08月22日
天使轮,0-20人,https://www.zhipin.com/job_detail/931411c9cf48144e1Xx80t-4Els~.html,Python兼职讲师,10k-20k,北京 昌平区 霍营,3-5年,本科,数学家,在线教育,郭永蓉,总经理,发布于10月28日
未融资,20-99人,https://www.zhipin.com/job_detail/27f6d6f9205cd57d1XJy3NS7E1Y~.html,Python工程师,15k-25k,北京 海淀区 北下关,5-10年,本科,中电信用,移动互联网,崔女士,招聘者,发布于09月21日
已上市,500-999人,https://www.zhipin.com/job_detail/d826e814bd93f23d1XR-29W-EVc~.html,Python开发,8k-16k,北京 朝阳区 酒仙桥,3-5年,本科,绛门科技,计算机软件,彭小姐,HR,发布于05月15日
B轮,100-499人,https://www.zhipin.com/job_detail/0887cfca45d911171nx509m0EVQ~.html,SDK后端python工程师,12k-24k,北京 朝阳区 北苑,1-3年,本科,途游游戏,游戏,窦灿,HRBP,发布于03月21日
B轮,100-499人,https://www.zhipin.com/job_detail/a5e8142e36b0ee501X193ty1FFA~.html,高级python工程师,20k-35k,北京 朝阳区 望京,5-10年,本科,图玛深维,医疗健康,高先生,招聘者,发布于11月15日
已上市,10000人以上,https://www.zhipin.com/job_detail/6078c5f11f7f26641XR43tm1EFY~.html,资深Python 开发工程师,30k-60k,北京 海淀区 马连洼,5-10年,本科,网易,移动互联网,马克,招聘者,发布于05月10日
B轮,500-999人,https://www.zhipin.com/job_detail/ce47d02158f4fb441nNz0t28FFs~.html,Python后端研发,25k-50k,北京 海淀区 牡丹园,1-3年,本科,医渡云,互联网,蒋锦鹏,首席架构师,发布于12月06日
B轮,100-499人,https://www.zhipin.com/job_detail/49f9a8c7375dcde71X1409m9EVE~.html,python后端技术经理,18k-35k,北京 朝阳区 东大桥,5-10年,本科,车势科技,互联网,孟津瑶,招聘者,发布于昨天
A轮,20-99人,https://www.zhipin.com/job_detail/73fce4eb4d4be2a31Xx52Nu6EFI~.html,架构师（Python）,30k-40k,北京 朝阳区 红庙,5-10年,本科,胖球,生活服务,王婷婷,HRBP,发布于10月22日
天使轮,20-99人,https://www.zhipin.com/job_detail/d823bb16a54d2ccd1X180t-9ElE~.html,python爬虫工程师,4k-5k,北京 海淀区 清华大学,应届生,大专,氢元数据,互联网,孙建平,人力资源经理,发布于11月14日
未融资,20-99人,https://www.zhipin.com/job_detail/96b5a77a0d2324b21XN62du8FlE~.html,Python工程师,15k-20k,北京 大兴区 亦庄,5-10年,本科,聚齐众兴网络,电子商务,李冬梅,招聘者,发布于09月26日
C轮,100-499人,https://www.zhipin.com/job_detail/9b51a4644e797f621HR509W7FlE~.html,Python工程师（校招）,15k-25k,北京 东城区 雍和宫,应届生,硕士,省钱快报,电子商务,梁瑞双,招聘者,发布于11月27日
未融资,20-99人,https://www.zhipin.com/job_detail/fe22f6cefbebe7e01nR-3Ni_FlI~.html,高级Python后端开发,15k-30k,北京 朝阳区 北苑,1-3年,学历不限,烽台科技,信息安全,雷承霖,合伙人,发布于12月04日
A轮,20-99人,https://www.zhipin.com/job_detail/8ff9fe02799719151X173tS8EFM~.html,python开发工程师,20k-40k,北京 东城区 东直门,经验不限,本科,客知音,计算机软件,王琼,招聘者,发布于11月21日
未融资,1000-9999人,https://www.zhipin.com/job_detail/31145433436c236d1HR609-9FlI~.html,Python研发工程师,5k-10k,北京 海淀区 知春路,经验不限,本科,东信北邮,移动互联网,于文俏,招聘经理,发布于11月21日
天使轮,0-20人,https://www.zhipin.com/job_detail/b227ddb84dd218d71HR-09y-FVY~.html,Python爬虫工程师,14k-20k,北京 朝阳区 石佛营,3-5年,本科,恐龙时代,互联网,王阔玥,hrm,发布于11月28日
已上市,10000人以上,https://www.zhipin.com/job_detail/77cde48ed37b80571Xd509W9GVQ~.html,Python研发工程师,20k-40k,北京 海淀区 西北旺,5-10年,本科,用友网络科技,互联网,梁菲,招聘者,发布于07月19日
已上市,10000人以上,https://www.zhipin.com/job_detail/22e3688eda9e75de1XNz29-0GFY~.html,Python开发工程师,20k-40k,北京 海淀区 马连洼,5-10年,本科,百度,互联网,王女士,招聘者,发布于10月17日
A轮,20-99人,https://www.zhipin.com/job_detail/a7176ba77c5688850Xxy39m8EA~~.html,Python后台工程师,18k-30k,北京 朝阳区 建国路,3-5年,学历不限,路书,互联网,张媛,招聘者,发布于06月14日
天使轮,20-99人,https://www.zhipin.com/job_detail/f2cc3c2aebd8a9a91XF_2Nq-EVc~.html,后端Django(Python)工程师,10k-20k,北京 石景山区 鲁谷,3-5年,本科,安和瑞福,互联网,杨尚仁,招聘者,发布于11月15日
不需要融资,20-99人,https://www.zhipin.com/job_detail/0b26fb21d49b34911XJ83N25EVs~.html,Python工程师,12k-24k,北京 海淀区 香山,3-5年,本科,雨辰视美,信息安全,赵月迎,招聘者,发布于11月12日
B轮,100-499人,https://www.zhipin.com/job_detail/a648411fbe817f641XF72tS5EVU~.html,Python研发工程师,25k-50k,北京 海淀区 西二旗,3-5年,本科,茄子快传,互联网,韩猛,招聘者,发布于12月06日
已上市,1000-9999人,https://www.zhipin.com/job_detail/28f36533d27b1a261nJ53dS0FVU~.html,Python开发工程师,15k-25k,北京 海淀区 中关村,3-5年,本科,汽车之家,互联网,赵欣,招聘,发布于12月06日
B轮,100-499人,https://www.zhipin.com/job_detail/ae574fd694dd75911XB439-6EVY~.html,Python工程师,10k-20k,北京 朝阳区 北苑,1-3年,大专,北京雷石,互联网,郑伊,hr,发布于08月06日
不需要融资,100-499人,https://www.zhipin.com/job_detail/5bda50b5e88a3a1a1XF73dy1F1A~.html,Python 测试开发,10k-18k,北京 海淀区 中关村,3-5年,本科,云智汇,互联网,肖琳琳,hr,发布于08月22日
