标题,面积,楼型,建筑年份,挂牌时间,上次交易,地区,区域,小区,单价,总价,户型,楼层,总楼层,关注人数,带看,朝向,装修
北京西城月坛99年南北通透大两居，双阳台，采光无遮挡,77.7,板楼,1999年,2018-08-21,2013-09-09,西城,月坛,月坛北街25号院,126127.0,980.0,2室1厅,底层,6,9390,37,南 北,精装
靠近地铁8号线，小区中间位置，中间楼层，已经满五年,124.08,板楼,2006年,2018-10-31,2006-10-17,昌平,回龙观,和谐家园一区,43521.0,540.0,3室2厅,低楼层,6,1942,72,南 北,简装
太阳宫 南北大三居 高层安静看花园 免征个税 有钥匙,148.66,板楼,2003年,2018-06-22,2009-08-31,朝阳,三元桥,UHN国际村,86103.0,1280.0,3室2厅,顶层,28,2104,37,南 北,精装
新龙城 南北通透三居室 中高楼层 精装空闲,113.19,板塔结合,2007年,2018-09-26,2011-01-30,昌平,回龙观,新龙城,52920.0,599.0,3室1厅,中楼层,20,17605,39,南 北,精装
朝阳区东坝金隅景和园南向精装修两居室,87.0,板楼,2011年,2018-06-24,2012-09-25,朝阳,东坝,金隅景和园,48046.0,418.0,2室1厅,低楼层,21,203,56,南,精装
满五年唯一税费少，带10平米面积，低楼层，采光无遮,49.01,板楼,1983年,2018-10-30,2003-03-19,丰台,北大地,北大街南里,62131.0,304.5,2室1厅,底层,6,358,41,南 北,简装
曙光花园西南两居，满五年唯一住房，公房，大厅主卧南,98.28,塔楼,2000年,2018-11-10,2001-03-22,海淀,四季青,曙光花园,95442.0,938.0,2室1厅,中楼层,17,37,28,南 西,精装
潘家园小区两居室 满五年 无个税 有电梯,66.09,板楼,1990年,2018-11-16,2010-03-04,朝阳,潘家园,潘家园小区,52959.0,350.0,2室1厅,顶层,18,192,27,南 西 北,简装
南北通透 前后观花园 满五年 家庭名下有一套住房,194.93,板楼,2008年,2018-03-21,2010-04-22,朝阳,豆各庄,富力又一城B区,47197.0,920.0,4室2厅,中楼层,22,363,22,南 北,精装
三面采光三居室 没有户口没有尾款 只有诚意,103.27,板楼,2000年,2018-04-27,2010-05-01,昌平,回龙观,云趣园一区,43769.0,452.0,3室2厅,高楼层,6,473,53,南 北,简装
房子满五年唯一 小区环境优雅 总价低三居室,91.0,塔楼,1999年,2018-04-28,2003-02-27,海淀,万寿路,万寿路甲15号院五区,95385.0,868.0,3室1厅,底层,18,531,14,东 南 北,简装
南北通透两居室，市长楼业主诚心出售。,126.55,板楼,1990年,2018-06-29,2009-03-11,东城,东花市,东花市北里中区,75860.0,960.0,2室1厅,低楼层,6,483,46,南 北,精装
复兴路乙6号院经典小两居一层带院,52.5,塔楼,1986年,2018-09-04,2002-04-28,海淀,军博,复兴路乙6号院,86667.0,455.0,2室1厅,底层,16,809,41,西南,简装
马家堡，10年商品房，人车分流，全明格局，精装婚房,96.86,板塔结合,2010年,2018-09-05,2011-03-21,丰台,大红门,上海建筑,68966.0,668.0,3室1厅,顶层,15,136,33,东南,精装
地铁龙泽站1千米+精装修+中间层两居室+满五年,80.16,板楼,1996年,2018-10-10,2013-10-25,昌平,回龙观,龙华园,49776.0,399.0,2室1厅,低楼层,6,124,64,南 北,精装
玺萌公馆 两居室南北通透  满五年唯一,118.83,板楼,2009年,2018-10-16,2011-12-22,丰台,草桥,玺萌公馆,79947.0,950.0,2室2厅,中楼层,6,182,39,南 北,毛坯
龙禧一正规三居室！中间楼层和位置！业主诚心出售！,105.0,板楼,2002年,2018-10-18,2003-09-23,昌平,回龙观,龙禧苑一区,45715.0,480.0,3室1厅,中楼层,7,75,40,南 北,简装
奥林匹克花园一期 满五年唯一164平三居室 一层带花园,163.79,板楼,2003年,2017-11-17,2004-06-15,朝阳,东坝,奥林匹克花园一期,85476.0,1400.0,3室3厅,底层,6,1472,31,南 北,精装
平层大四居，满五年唯一，东边户，明厨明卫；,208.73,板塔结合,2008年,2018-11-06,2010-06-30,朝阳,朝青,天鹅湾北区,71864.0,1500.0,4室2厅,低楼层,23,72,23,南 北,精装
大井东里南北通透两居室，卧室面积大，采光好，随时签,62.81,板楼,1995年,2018-08-16,2013-07-01,丰台,岳各庄,大井东里,45853.0,288.0,2室1厅,顶层,6,77,21,南 北,简装
天乐园安静不临街，精装两居，业主诚意出售可随时签约,86.38,板楼,2004年,2017-07-19,2009-02-24,朝阳,奥林匹克公园,天乐园,71313.0,616.0,2室1厅,中楼层,17,738,25,南,精装
一层带花园 三面采光 满五年 小区中间位置,119.85,板楼,1996年,2017-12-27,2001-01-04,昌平,北七家,西湖新村,34877.0,418.0,3室2厅,底层,7,295,24,南 西 北,简装
全天采光好 无遮挡 满五年唯一住房 诚意出售,156.23,塔楼,2004年,2018-03-19,2006-06-05,朝阳,大望路,珠江帝景,81931.0,1280.0,3室2厅,低楼层,26,360,29,西南,精装
本房是满五唯一的，南北通透的三居室，观景房,117.78,板塔结合,2007年,2018-05-16,2009-05-12,房山,长阳,碧桂园小区C区,29632.0,349.0,3室2厅,中楼层,16,120,22,南 北,简装
明源南里 已购公房 南北通透 无遮挡 采光好,55.67,板楼,1984年,2018-05-29,1998-03-03,房山,良乡,明源南里,34489.0,192.0,2室1厅,高楼层,6,1105,20,南 北,简装
融域嘉园 高层三居，双卧朝南，有车位,157.02,板塔结合,2007年,2018-06-24,2009-06-03,朝阳,奥林匹克公园,融域嘉园,87887.0,1380.0,3室2厅,顶层,15,1294,22,南 北,精装
