carname,officialprice,carfuelc,brand,MIITfuelc,displacement,rank,gearbox,cartype,ranking,carstrength,configuration,major,ownerevaluate,price,versions1,versionsp1,versions2,versionsp2
K60,5.88-8.18万,7.60-10.70L/100km,开瑞,暂无信息,"['1.5L', '1.5T']",紧凑型SUV,"['手动', '自动']",[],该车暂未被列入榜单，暂无排名信息查看详情,非总得分44.6,较弱,测试中,良好,良好, 2018款 1.5T 手动旗舰型,7.98万, 2017款 1.5L 自动旗舰型,停售
奇骏,18.88-27.13万,7.60-11.50L/100km,日产,8.30-9.70L/100km,"['2.0L', '2.5L']",紧凑型SUV,['无级变速'],[],该车车实力评分高于75%同级别车系查看详情,75.2,一般,良好,良好,良好, 2019款 2.5L CVT 智联豪华版 4WD,24.23万, 2017款 2.5L CVT 领先版 4WD,停售
北汽威旺S50,7.98-12.08万,7.60-11.70L/100km,北汽威旺,暂无信息,['1.5T'],紧凑型SUV,"['手动', '无级变速']",[],该车暂未被列入榜单，暂无排名信息查看详情,非总得分47.0,较弱,测试中,优秀,一般, 2016款 欢动版 1.5T 手动精英型,8.68万, 2016款 欢动版 1.5T 手动尊贵型,10.88万
北汽幻速S2,5.18-6.08万,7.70-7.80L/100km,北汽幻速,暂无信息,['1.5L'],小型SUV,['手动'],[],该车暂未被列入榜单，暂无排名信息查看详情,非总得分41.7,较弱,测试中,优秀,良好, 2016款 1.5L 手动豪华型,6.08万, 2015款 1.5L MT 豪华型 国V,停售
瑞虎5,8.88-12.38万,7.70-9.30L/100km,奇瑞,暂无信息,"['1.5T', '2.0L']",紧凑型SUV,"['手动', '无级变速']",[],该车暂未被列入榜单，暂无排名信息查看详情,非总得分48.8,一般,测试中,良好,良好, 2017款 1.5T 手动舒适版,9.48万, 2017款 1.5T CVT舒适版,10.38万
绅宝X35,6.58-8.88万,7.70-9.30L/100km,北汽绅宝,暂无信息,['1.5L'],小型SUV,"['手动', '自动']",[],该车暂未被列入榜单，暂无排名信息查看详情,非总得分44.5,较弱,测试中,良好,一般, 2016款 1.5L 自动豪华版,8.48万, 2016款 1.5L 自动精英版,7.88万
WEY VV6,14.80-17.50万,7.70-9.60L/100km,WEY,暂无信息,['2.0T'],紧凑型SUV,['双离合'],[],该车暂未被列入榜单，暂无排名信息查看详情,非总得分54.6,良好,测试中,良好,一般, 2018款 2.0T 四驱超豪型,16.8万, 2018款 2.0T 四驱旗舰型,17.5万
逍客,13.98-18.98万,7.70-9.70L/100km,日产,6.80-8.70L/100km,"['1.2T', '1.6L', '2.0L']",紧凑型SUV,"['手动', '无级变速']",[],该车车实力评分高于23%同级别车系查看详情,68.5,较弱,优秀,一般,一般, 2017款 2.0L CVT豪华版,16.88万, 2017款 2.0L CVT精英版,15.38万
金杯S70,7.98-11.38万,7.70-9.80L/100km,金杯,暂无信息,['1.5T'],中型SUV,['手动'],[],该车暂未被列入榜单，暂无排名信息查看详情,非总得分45.9,较弱,测试中,一般,良好, 2017款 1.5T 手动领航版,9.88万,,
标致3008,13.97-20.77万,7.70-10.00L/100km,标致,暂无信息,"['1.6T', '2.0L']",紧凑型SUV,"['手动', '手自一体']",[],该车暂未被列入榜单，暂无排名信息查看详情,非总得分46.4,较弱,测试中,良好,一般, 2018款 2.0L 自动经典版,15.27万, 2016款 2.0L 自动经典版,停售
