工作链接,公司全名,公司链接,公司简称,公司规模,融资阶段,区域,职位名称,学历要求,工作经验,薪资范围,职位福利,工作领域,工作类型,工作技能,发布时间,是否全职,具体工作,地铁线路
https://www.lagou.com/jobs/4912557.html,北京深海巨鲸信息科技有限公司,https://www.lagou.com/gongsi/111439.html,鲸媒体,15-50人,A轮,海淀区,资深Python 工程师,不限,1-3年,14k-20k,"五险一金,员工福利,餐补,双休","教育,移动互联网",[],['Linux/Unix'],2018-12-04 11:04:47,全职,后端开发,4号线大兴线_海淀黄庄;4号线大兴线_中关村;4号线大兴线_北京大学东门;10号线_苏州街;10号线_海淀黄庄
https://www.lagou.com/jobs/4655991.html,北京自造星球科技有限公司,https://www.lagou.com/gongsi/51857.html,牛顿Newton,50-150人,不需要融资,朝阳区,高级Python研发工程师,本科,3-5年,15k-30k,"区块链,高成长","企业服务,数据服务","['云计算', 'Node.js', '云计算']","['Node.js', '云计算']",2018-12-03 10:04:54,全职,后端开发,6号线_呼家楼;6号线_东大桥;10号线_农业展览馆;10号线_团结湖;10号线_呼家楼
https://www.lagou.com/jobs/3158108.html,北京天桐互动信息技术有限公司,https://www.lagou.com/gongsi/46010.html,天桐互动,15-50人,B轮,朝阳区,高级Python工程师,本科,1-3年,20k-35k,"期权激励,扁平化管理,五险一金,年底双薪",移动互联网,['云计算'],[],2018-11-29 14:59:49,全职,后端开发,15号线_望京东
https://www.lagou.com/jobs/5280260.html,乐飞天下信息技术(北京)有限公司,https://www.lagou.com/gongsi/34214.html,乐飞天下,50-150人,未融资,朝阳区,Python中高级开发工程师,大专,5-10年,15k-30k,五险一金 带薪假 海外旅游 节假福利,"移动互联网,旅游",[],"['后端', 'MySQL', '数据挖掘']",2018-12-04 18:30:55,全职,后端开发,1号线_大望路;1号线_四惠;7号线_大郊亭;7号线_九龙山;14号线东段_大望路;14号线东段_九龙山
https://www.lagou.com/jobs/4936199.html,北京点石经纬科技有限公司,https://www.lagou.com/gongsi/18165.html,OKAY智慧教育,150-500人,B轮,海淀区,python服务开发工程师,本科,1-3年,12k-24k,"领导nic,大平台","移动互联网,教育",[],"['后端', '服务器端']",2018-12-04 10:15:22,全职,后端开发,4号线大兴线_人民大学;4号线大兴线_海淀黄庄;4号线大兴线_中关村;4号线大兴线_北京大学东门;10号线_苏州街;10号线_海淀黄庄;10号线_知春里
https://www.lagou.com/jobs/4997694.html,北京陌陌科技有限公司,https://www.lagou.com/gongsi/129.html,陌陌,500-2000人,上市公司,朝阳区,Java/Python开发工程师（19届）,本科,应届毕业生,12k-24k,"每日下午茶,舒适的环境,可爱的伙伴",社交网络,"['社交', '移动互联网']",[],2018-12-04 16:38:59,全职,后端开发,14号线东段_望京;14号线东段_阜通;14号线东段_望京南;15号线_望京东;15号线_望京
https://www.lagou.com/jobs/4481992.html,上海福萝电子科技有限公司,https://www.lagou.com/gongsi/309483.html,Cobo Wallet,15-50人,A轮,朝阳区,"Python, nodejs，golang工程师",本科,3-5年,30k-60k,"股权激励,成长空间,大牛团队,良好环境",移动互联网 信息安全,[],"['Node.js', 'Ruby']",2018-11-30 16:49:27,全职,后端开发,14号线东段_阜通;14号线东段_望京南
https://www.lagou.com/jobs/4177079.html,深圳码隆科技有限公司,https://www.lagou.com/gongsi/78224.html,码隆科技,50-150人,B轮,海淀区,python工程师(北京),本科,1-3年,15k-25k,发展前景广阔,移动互联网,[],['软件开发'],2018-12-05 09:49:10,全职,企业软件,4号线大兴线_海淀黄庄;4号线大兴线_中关村;4号线大兴线_北京大学东门;10号线_苏州街;10号线_海淀黄庄
https://www.lagou.com/jobs/4941962.html,上海蔚来汽车有限公司,https://www.lagou.com/gongsi/111139.html,NIO蔚来,2000人以上,D轮及以上,朝阳区,python,本科,3-5年,20k-40k,"六险一金,弹性办公,租房补贴,学霸团队","移动互联网,硬件",[],[],2018-12-04 17:20:49,全职,后端开发,14号线东段_来广营;14号线东段_东湖渠
https://www.lagou.com/jobs/5377716.html,北京泛鹏天地科技股份有限公司,https://www.lagou.com/gongsi/336778.html,泛鹏天地,500-2000人,不需要融资,朝阳区,python高级工程师,本科,5-10年,15k-18k,云产品研发,"企业服务,金融",[],[],2018-11-29 17:00:41,全职,后端开发,1号线_建国门;1号线_永安里;1号线_国贸;2号线_建国门;7号线_广渠门外;10号线_国贸
https://www.lagou.com/jobs/5221911.html,北京聚道科技有限公司,https://www.lagou.com/gongsi/35822.html,GeneDock,15-50人,B轮,海淀区,Python后端工程师,本科,5-10年,25k-40k,"五险一金,免费午餐,团队融洽,技术超前","医疗健康,数据服务",[],[],2018-12-05 14:39:19,全职,后端开发,10号线_西土城;10号线_牡丹园;10号线_健德门
