公司全名,公司简称,公司规模,融资阶段,区域,职位名称,工作经验,学历要求,工资,职位福利
上海泛微网络科技股份有限公司,泛微,2000人以上,上市公司,闵行区,运维工程师（Python）,1-3年,本科,8k-13k,"半年调薪,福利待遇佳,免费三餐"
上海炫体信息科技有限公司,雷速体育,50-150人,不需要融资,虹口区,Python（年轻人的狂欢）,1-3年,大专,12k-20k,"交通补贴,饭补,旅游,下午茶"
虎特信息科技（上海）有限公司,虎特信息北京办事处,15-50人,天使轮,海淀区,Python研发工程师/高级研发工程师,3-5年,本科,15k-25k,七险一金 扁平管理 发展空间大
山西协鑫售电有限公司,协鑫集团子公司,2000人以上,不需要融资,高新技术产业开发区,python开发工程师,3-5年,本科,8k-12k,"周末双休,双倍工资,年度体检,五险一金"
北京众标网络科技有限公司上海分公司,众标网络科技,50-150人,A轮,宝山区,python开发工程师,1年以下,本科,6k-8k,"前景好,大数据,福利待遇好,大牛多"
互道信息技术（上海）有限公司,NextTao 互道信息,50-150人,B轮,浦东新区,Python工程师,3-5年,本科,18k-35k,"技术前沿,大数据平台"
联想（北京）有限公司,联想集团,2000人以上,上市公司,南山区,python开发工程师,不限,本科,20K-27K,大牛团队 超长年假
北京阿丘科技有限公司,阿丘科技,50-150人,A轮,海淀区,后台开发工程师（Python）,不限,本科,15k-30k,"大牛多,技术氛围好,福利好,前景广阔"
北京微光果壳科技有限公司,微壳,150-500人,不需要融资,朝阳区,Python/Golang开发工程师,3-5年,本科,25k-40k,"Geek,16薪,海外旅游,六险一金"
深圳市猎芯科技有限公司,猎芯科技,150-500人,B轮,龙岗区,Python工程师,1-3年,大专,10k-20k,发展空间大
上海谷露软件有限公司,谷露软件,50-150人,A轮,黄浦区,python工程师（2019校园招聘）,应届毕业生,本科,15k-20k,"五险一金,包两餐,13薪,奖金多"
深圳市彬讯科技有限公司,土巴兔,2000人以上,C轮,南山区,python开发工程师,1-3年,本科,13k-20k,周末双休 带薪年假
苏州睿小麟教育科技有限公司,NaturLing教育科技,少于15人,天使轮,工业园区,资深Python研发工程师,3-5年,本科,15k-25k,"弹性工作,硅谷文化,国际化团队,股权激励"
昆明俊云科技有限公司,俊云科技,50-150人,不需要融资,高新区,高级python开发工程师,3-5年,本科,15k-25k,"扁平高效,六险一金,福利满满,丰厚年终"
厦门今立方科技有限公司,Jcubing,15-50人,不需要融资,集美区,python 工程师,应届毕业生,本科,5k-10k,"新科技,成长型,五险一金,假期福利"
北京智者天下科技有限公司,知乎,500-2000人,D轮及以上,海淀区,Python开发工程师,3-5年,本科,15k-30k,薪资优厚、氛围宽松、每日三餐、六险一金
北京汉迪移动互联网科技股份有限公司,iHandy,150-500人,不需要融资,海淀区,Python开发实习生,应届毕业生,本科,5k-8k,"有大牛,有美女,有零食,有健身"
北京车势科技有限公司,车势科技,150-500人,A轮,朝阳区,技术经理（侧重python后端）,5-10年,本科,20k-25k,五险一金、年底双薪、带薪年假
优维科技（深圳）有限公司,优维科技,50-150人,B轮,南山区,Python开发工程师（驻场）,1-3年,本科,13k-15k,"五险一金,带薪年假,年底旅游,腾讯背景"
欧立腾（北京）技术咨询有限公司上海分公司,Altenchina,2000人以上,上市公司,长宁区,python/java,1-3年,本科,15k-25k,外企
北京云端智度科技有限公司,云端智度,15-50人,A轮,朝阳区,Python研发工程师,1-3年,大专,10k-20k,五险一金 餐补 通讯补贴 弹性工作
新蛋科技（成都）有限公司,新蛋,500-2000人,不需要融资,高新区,Python开发工程师,3-5年,本科,10k-15k,"外企氛围,丰厚福利,技术氛围浓"
北京通力互联技术服务有限公司,通力互联,2000人以上,不需要融资,海淀区,Python开发,3-5年,大专,9k-18k,"周末双休,团建活动"
广州稻禾信息科技有限公司,稻禾科技,15-50人,不需要融资,番禺区,python开发工程师,1-3年,大专,8k-15k,福利好 领导好 行业前景好
郑州创恒实业有限公司,郑州创恒实业有限公司,150-500人,未融资,金水区,Python开发工程师,1-3年,大专,5k-10k,"周末双休,年底双薪,全勤奖,外出旅游"
